onset	duration	trial_type	category	manner	phoneme1	phoneme2	place	tms_intensity	tms_target	trial	voicing
311.3115	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	tongue	1	no
311.3615	0	stimulus	n/a	n/a	u	d	n/a	n/a	tongue	n/a	n/a
315.291	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	tongue	2	no
315.341	0	stimulus	n/a	n/a	a	d	n/a	n/a	tongue	n/a	n/a
319.3035	0	TMS	bilabial	stop	n/a	n/a	bilabial	110	tongue	3	no
319.3535	0	stimulus	n/a	n/a	p	u	n/a	n/a	tongue	n/a	n/a
327.296	0	TMS	bilabial	stop	n/a	n/a	bilabial	110	tongue	4	yes
327.346	0	stimulus	n/a	n/a	b	o	n/a	n/a	tongue	n/a	n/a
331.2925	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	tongue	5	no
331.3425	0	stimulus	n/a	n/a	i	d	n/a	n/a	tongue	n/a	n/a
335.305	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	tongue	6	no
335.355	0	stimulus	n/a	n/a	e	b	n/a	n/a	tongue	n/a	n/a
355.3015	0	TMS	bilabial	stop	n/a	n/a	bilabial	110	tongue	7	yes
355.3515	0	stimulus	n/a	n/a	b	i	n/a	n/a	tongue	n/a	n/a
359.3155	0	TMS	bilabial	stop	n/a	n/a	bilabial	110	tongue	8	yes
359.3655	0	stimulus	n/a	n/a	b	e	n/a	n/a	tongue	n/a	n/a
363.2955	0	TMS	bilabial	stop	n/a	n/a	bilabial	110	control_tongue	9	no
363.3455	0	stimulus	n/a	n/a	p	u	n/a	n/a	control_tongue	n/a	n/a
367.2905	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	tongue	10	no
367.3405	0	stimulus	n/a	n/a	u	t	n/a	n/a	tongue	n/a	n/a
371.3025	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	tongue	11	yes
371.3525	0	stimulus	n/a	n/a	d	i	n/a	n/a	tongue	n/a	n/a
379.3115	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	control_tongue	12	no
379.3615	0	stimulus	n/a	n/a	e	b	n/a	n/a	control_tongue	n/a	n/a
383.306	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	control_tongue	13	yes
383.356	0	stimulus	n/a	n/a	d	o	n/a	n/a	control_tongue	n/a	n/a
387.3045	0	TMS	bilabial	stop	n/a	n/a	bilabial	110	tongue	14	no
387.3545	0	stimulus	n/a	n/a	p	u	n/a	n/a	tongue	n/a	n/a
391.31	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	control_tongue	15	no
391.36	0	stimulus	n/a	n/a	i	d	n/a	n/a	control_tongue	n/a	n/a
395.3135	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	tongue	16	no
