onset	duration	trial_type	category	manner	phoneme1	phoneme2	place	tms_intensity	tms_target	trial	voicing
59.261	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	tongue	1	no
59.311	0	stimulus	n/a	n/a	a	d	n/a	n/a	tongue	n/a	n/a
63.257	0	TMS	bilabial	stop	n/a	n/a	bilabial	110	tongue	2	no
63.307	0	stimulus	n/a	n/a	p	u	n/a	n/a	tongue	n/a	n/a
67.2555	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	control_tongue	3	no
67.3055	0	stimulus	n/a	n/a	i	t	n/a	n/a	control_tongue	n/a	n/a
71.2665	0	TMS	bilabial	stop	n/a	n/a	bilabial	110	tongue	4	yes
71.3165	0	stimulus	n/a	n/a	b	o	n/a	n/a	tongue	n/a	n/a
75.2805	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	tongue	5	no
75.3305	0	stimulus	n/a	n/a	i	d	n/a	n/a	tongue	n/a	n/a
79.2585	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	tongue	6	no
79.3085	0	stimulus	n/a	n/a	e	b	n/a	n/a	tongue	n/a	n/a
83.2715	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	tongue	7	no
83.3215	0	stimulus	n/a	n/a	a	d	n/a	n/a	tongue	n/a	n/a
87.267	0	TMS	bilabial	stop	n/a	n/a	bilabial	110	tongue	8	no
87.317	0	stimulus	n/a	n/a	p	a	n/a	n/a	tongue	n/a	n/a
91.267	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	control_tongue	9	no
91.317	0	stimulus	n/a	n/a	e	t	n/a	n/a	control_tongue	n/a	n/a
95.2595	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	tongue	10	yes
95.3095	0	stimulus	n/a	n/a	d	a	n/a	n/a	tongue	n/a	n/a
99.272	0	TMS	bilabial	stop	n/a	n/a	bilabial	110	tongue	11	yes
99.322	0	stimulus	n/a	n/a	b	i	n/a	n/a	tongue	n/a	n/a
103.268	0	TMS	bilabial	stop	n/a	n/a	bilabial	110	tongue	12	yes
103.318	0	stimulus	n/a	n/a	b	e	n/a	n/a	tongue	n/a	n/a
107.259	0	TMS	bilabial	stop	n/a	n/a	bilabial	110	control_tongue	13	no
107.309	0	stimulus	n/a	n/a	p	u	n/a	n/a	control_tongue	n/a	n/a
111.26	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	tongue	14	no
111.31	0	stimulus	n/a	n/a	u	t	n/a	n/a	tongue	n/a	n/a
115.2565	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	tongue	15	yes
115.3065	0	stimulus	n/a	n/a	d	i	n/a	n/a	tongue	n/a	n/a
119.2795	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	control_tongue	16	no
119.3295	0	stimulus	n/a	n/a	u	t	n/a	n/a	control_tongue	n/a	n/a
123.265	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	control_tongue	17	no
123.315	0	stimulus	n/a	n/a	e	b	n/a	n/a	control_tongue	n/a	n/a
127.2695	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	control_tongue	18	yes
127.3195	0	stimulus	n/a	n/a	d	o	n/a	n/a	control_tongue	n/a	n/a
131.2575	0	TMS	bilabial	stop	n/a	n/a	bilabial	110	tongue	19	no
131.3075	0	stimulus	n/a	n/a	p	u	n/a	n/a	tongue	n/a	n/a
135.2625	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	control_tongue	20	no
135.3125	0	stimulus	n/a	n/a	i	d	n/a	n/a	control_tongue	n/a	n/a
