onset	duration	trial_type	category	manner	phoneme1	phoneme2	place	tms_intensity	tms_target	trial	voicing
430.708	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	lip	1	no
430.758	0	stimulus	n/a	n/a	u	d	n/a	n/a	lip	n/a	n/a
438.6895	0	TMS	bilabial	stop	n/a	n/a	bilabial	110	lip	2	no
438.7395	0	stimulus	n/a	n/a	p	u	n/a	n/a	lip	n/a	n/a
442.67	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	control_lip	3	no
442.72	0	stimulus	n/a	n/a	i	t	n/a	n/a	control_lip	n/a	n/a
450.704	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	lip	4	no
450.754	0	stimulus	n/a	n/a	i	d	n/a	n/a	lip	n/a	n/a
458.703	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	lip	5	no
458.753	0	stimulus	n/a	n/a	a	d	n/a	n/a	lip	n/a	n/a
462.6865	0	TMS	bilabial	stop	n/a	n/a	bilabial	110	lip	6	no
462.7365	0	stimulus	n/a	n/a	p	a	n/a	n/a	lip	n/a	n/a
470.685	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	lip	7	yes
470.735	0	stimulus	n/a	n/a	d	a	n/a	n/a	lip	n/a	n/a
474.684	0	TMS	bilabial	stop	n/a	n/a	bilabial	110	lip	8	yes
474.734	0	stimulus	n/a	n/a	b	i	n/a	n/a	lip	n/a	n/a
478.6835	0	TMS	bilabial	stop	n/a	n/a	bilabial	110	lip	9	yes
478.7335	0	stimulus	n/a	n/a	b	e	n/a	n/a	lip	n/a	n/a
482.6855	0	TMS	bilabial	stop	n/a	n/a	bilabial	110	control_lip	10	no
482.7355	0	stimulus	n/a	n/a	p	u	n/a	n/a	control_lip	n/a	n/a
486.699	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	lip	11	no
486.749	0	stimulus	n/a	n/a	u	t	n/a	n/a	lip	n/a	n/a
490.682	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	lip	12	yes
490.732	0	stimulus	n/a	n/a	d	i	n/a	n/a	lip	n/a	n/a
494.694	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	control_lip	13	no
494.744	0	stimulus	n/a	n/a	t	e	n/a	n/a	control_lip	n/a	n/a
502.714	0	TMS	bilabial	stop	n/a	n/a	bilabial	110	control_lip	14	yes
502.764	0	stimulus	n/a	n/a	b	a	n/a	n/a	control_lip	n/a	n/a
506.696	0	TMS	bilabial	stop	n/a	n/a	bilabial	110	lip	15	no
506.746	0	stimulus	n/a	n/a	p	u	n/a	n/a	lip	n/a	n/a
510.7135	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	control_lip	16	no
510.7635	0	stimulus	n/a	n/a	i	d	n/a	n/a	control_lip	n/a	n/a
514.696	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	lip	17	no
514.746	0	stimulus	n/a	n/a	t	e	n/a	n/a	lip	n/a	n/a
522.676	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	control_lip	18	no
522.726	0	stimulus	n/a	n/a	e	d	n/a	n/a	control_lip	n/a	n/a
526.6765	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	lip	19	yes
526.7265	0	stimulus	n/a	n/a	d	i	n/a	n/a	lip	n/a	n/a
530.6755	0	TMS	bilabial	stop	n/a	n/a	bilabial	110	lip	20	yes
530.7255	0	stimulus	n/a	n/a	b	u	n/a	n/a	lip	n/a	n/a
534.675	0	TMS	bilabial	stop	n/a	n/a	bilabial	110	control_lip	21	no
534.725	0	stimulus	n/a	n/a	p	e	n/a	n/a	control_lip	n/a	n/a
538.692	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	lip	22	no
538.742	0	stimulus	n/a	n/a	t	i	n/a	n/a	lip	n/a	n/a
542.6735	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	lip	23	no
542.7235	0	stimulus	n/a	n/a	u	p	n/a	n/a	lip	n/a	n/a
546.691	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	control_lip	24	no
546.741	0	stimulus	n/a	n/a	u	b	n/a	n/a	control_lip	n/a	n/a
550.6895	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	lip	25	no
550.7395	0	stimulus	n/a	n/a	i	t	n/a	n/a	lip	n/a	n/a
554.6885	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	control_lip	26	no
554.7385	0	stimulus	n/a	n/a	u	p	n/a	n/a	control_lip	n/a	n/a
558.689	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	lip	27	yes
558.739	0	stimulus	n/a	n/a	d	o	n/a	n/a	lip	n/a	n/a
562.737	0	TMS	bilabial	stop	n/a	n/a	bilabial	110	control_lip	28	yes
562.787	0	stimulus	n/a	n/a	b	i	n/a	n/a	control_lip	n/a	n/a
566.7325	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	lip	29	yes
566.7825	0	stimulus	n/a	n/a	d	e	n/a	n/a	lip	n/a	n/a
570.6975	0	TMS	bilabial	stop	n/a	n/a	bilabial	110	control_lip	30	no
570.7475	0	stimulus	n/a	n/a	p	o	n/a	n/a	control_lip	n/a	n/a
574.686	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	lip	31	yes
574.736	0	stimulus	n/a	n/a	d	a	n/a	n/a	lip	n/a	n/a
578.705	0	TMS	bilabial	stop	n/a	n/a	bilabial	110	lip	32	yes
578.755	0	stimulus	n/a	n/a	b	e	n/a	n/a	lip	n/a	n/a
582.7365	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	lip	33	no
582.7865	0	stimulus	n/a	n/a	i	b	n/a	n/a	lip	n/a	n/a
586.7035	0	TMS	bilabial	stop	n/a	n/a	bilabial	110	control_lip	34	no
586.7535	0	stimulus	n/a	n/a	p	i	n/a	n/a	control_lip	n/a	n/a
590.7	0	TMS	bilabial	stop	n/a	n/a	bilabial	110	lip	35	yes
590.75	0	stimulus	n/a	n/a	b	i	n/a	n/a	lip	n/a	n/a
594.7165	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	lip	36	no
594.7665	0	stimulus	n/a	n/a	i	p	n/a	n/a	lip	n/a	n/a
602.684	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	control_lip	37	no
602.734	0	stimulus	n/a	n/a	o	d	n/a	n/a	control_lip	n/a	n/a
606.716	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	lip	38	yes
606.766	0	stimulus	n/a	n/a	d	a	n/a	n/a	lip	n/a	n/a
614.697	0	TMS	bilabial	stop	n/a	n/a	bilabial	110	lip	39	no
614.747	0	stimulus	n/a	n/a	p	a	n/a	n/a	lip	n/a	n/a
622.7135	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	lip	40	no
622.7635	0	stimulus	n/a	n/a	u	d	n/a	n/a	lip	n/a	n/a
626.7125	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	control_lip	41	no
626.7625	0	stimulus	n/a	n/a	t	a	n/a	n/a	control_lip	n/a	n/a
630.7115	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	lip	42	no
630.7615	0	stimulus	n/a	n/a	e	b	n/a	n/a	lip	n/a	n/a
634.7275	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	control_lip	43	no
634.7775	0	stimulus	n/a	n/a	o	p	n/a	n/a	control_lip	n/a	n/a
638.677	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	control_lip	44	no
638.727	0	stimulus	n/a	n/a	t	e	n/a	n/a	control_lip	n/a	n/a
646.69	0	TMS	bilabial	stop	n/a	n/a	bilabial	110	control_lip	45	yes
646.74	0	stimulus	n/a	n/a	b	o	n/a	n/a	control_lip	n/a	n/a
650.6885	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	control_lip	46	no
650.7385	0	stimulus	n/a	n/a	t	i	n/a	n/a	control_lip	n/a	n/a
658.6875	0	TMS	bilabial	stop	n/a	n/a	bilabial	110	control_lip	47	no
658.7375	0	stimulus	n/a	n/a	p	o	n/a	n/a	control_lip	n/a	n/a
666.706	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	lip	48	no
666.756	0	stimulus	n/a	n/a	i	p	n/a	n/a	lip	n/a	n/a
690.721	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	lip	49	no
690.771	0	stimulus	n/a	n/a	t	i	n/a	n/a	lip	n/a	n/a
694.703	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	control_lip	50	yes
694.753	0	stimulus	n/a	n/a	d	e	n/a	n/a	control_lip	n/a	n/a
698.701	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	lip	51	no
698.751	0	stimulus	n/a	n/a	u	b	n/a	n/a	lip	n/a	n/a
706.7175	0	TMS	bilabial	stop	n/a	n/a	bilabial	110	control_lip	52	yes
706.7675	0	stimulus	n/a	n/a	b	u	n/a	n/a	control_lip	n/a	n/a
710.6995	0	TMS	bilabial	stop	n/a	n/a	bilabial	110	lip	53	no
710.7495	0	stimulus	n/a	n/a	p	e	n/a	n/a	lip	n/a	n/a
718.7155	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	lip	54	no
718.7655	0	stimulus	n/a	n/a	i	d	n/a	n/a	lip	n/a	n/a
722.7145	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	lip	55	no
722.7645	0	stimulus	n/a	n/a	o	p	n/a	n/a	lip	n/a	n/a
730.731	0	TMS	bilabial	stop	n/a	n/a	bilabial	110	lip	56	yes
730.781	0	stimulus	n/a	n/a	b	o	n/a	n/a	lip	n/a	n/a
734.6655	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	control_lip	57	yes
734.7155	0	stimulus	n/a	n/a	d	e	n/a	n/a	control_lip	n/a	n/a
738.712	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	lip	58	no
738.762	0	stimulus	n/a	n/a	t	o	n/a	n/a	lip	n/a	n/a
742.695	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	lip	59	no
742.745	0	stimulus	n/a	n/a	a	p	n/a	n/a	lip	n/a	n/a
746.6775	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	control_lip	60	no
746.7275	0	stimulus	n/a	n/a	t	a	n/a	n/a	control_lip	n/a	n/a
750.678	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	control_lip	61	no
750.728	0	stimulus	n/a	n/a	e	d	n/a	n/a	control_lip	n/a	n/a
754.693	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	control_lip	62	no
754.743	0	stimulus	n/a	n/a	i	b	n/a	n/a	control_lip	n/a	n/a
758.709	0	TMS	bilabial	stop	n/a	n/a	bilabial	110	lip	63	no
758.759	0	stimulus	n/a	n/a	p	o	n/a	n/a	lip	n/a	n/a
762.7095	0	TMS	bilabial	stop	n/a	n/a	bilabial	110	control_lip	64	yes
762.7595	0	stimulus	n/a	n/a	b	u	n/a	n/a	control_lip	n/a	n/a
766.7095	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	control_lip	65	no
766.7595	0	stimulus	n/a	n/a	i	p	n/a	n/a	control_lip	n/a	n/a
774.7265	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	lip	66	no
774.7765	0	stimulus	n/a	n/a	o	t	n/a	n/a	lip	n/a	n/a
778.7065	0	TMS	bilabial	stop	n/a	n/a	bilabial	110	lip	67	no
778.7565	0	stimulus	n/a	n/a	p	i	n/a	n/a	lip	n/a	n/a
782.689	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	lip	68	no
782.739	0	stimulus	n/a	n/a	o	b	n/a	n/a	lip	n/a	n/a
790.705	0	TMS	bilabial	stop	n/a	n/a	bilabial	110	control_lip	69	yes
790.755	0	stimulus	n/a	n/a	b	a	n/a	n/a	control_lip	n/a	n/a
794.721	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	lip	70	yes
794.771	0	stimulus	n/a	n/a	d	a	n/a	n/a	lip	n/a	n/a
802.7195	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	lip	71	no
802.7695	0	stimulus	n/a	n/a	e	t	n/a	n/a	lip	n/a	n/a
806.6855	0	TMS	bilabial	stop	n/a	n/a	bilabial	110	lip	72	no
806.7355	0	stimulus	n/a	n/a	p	a	n/a	n/a	lip	n/a	n/a
818.719	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	control_lip	73	no
818.769	0	stimulus	n/a	n/a	u	b	n/a	n/a	control_lip	n/a	n/a
822.7005	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	lip	74	yes
822.7505	0	stimulus	n/a	n/a	d	u	n/a	n/a	lip	n/a	n/a
826.716	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	control_lip	75	no
826.766	0	stimulus	n/a	n/a	i	p	n/a	n/a	control_lip	n/a	n/a
830.7325	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	lip	76	no
830.7825	0	stimulus	n/a	n/a	o	t	n/a	n/a	lip	n/a	n/a
838.716	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	lip	77	no
838.766	0	stimulus	n/a	n/a	t	o	n/a	n/a	lip	n/a	n/a
842.7305	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	lip	78	yes
842.7805	0	stimulus	n/a	n/a	d	u	n/a	n/a	lip	n/a	n/a
846.6965	0	TMS	bilabial	stop	n/a	n/a	bilabial	110	lip	79	no
846.7465	0	stimulus	n/a	n/a	p	i	n/a	n/a	lip	n/a	n/a
850.713	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	lip	80	no
850.763	0	stimulus	n/a	n/a	t	o	n/a	n/a	lip	n/a	n/a
854.7285	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	lip	81	yes
854.7785	0	stimulus	n/a	n/a	d	u	n/a	n/a	lip	n/a	n/a
858.7115	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	lip	82	no
858.7615	0	stimulus	n/a	n/a	i	b	n/a	n/a	lip	n/a	n/a
862.7275	0	TMS	bilabial	stop	n/a	n/a	bilabial	110	lip	83	yes
862.7775	0	stimulus	n/a	n/a	b	e	n/a	n/a	lip	n/a	n/a
866.71	0	TMS	bilabial	stop	n/a	n/a	bilabial	110	lip	84	no
866.76	0	stimulus	n/a	n/a	p	e	n/a	n/a	lip	n/a	n/a
870.7265	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	control_lip	85	yes
870.7765	0	stimulus	n/a	n/a	d	o	n/a	n/a	control_lip	n/a	n/a
878.7275	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	lip	86	no
878.7775	0	stimulus	n/a	n/a	t	u	n/a	n/a	lip	n/a	n/a
882.691	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	lip	87	no
882.741	0	stimulus	n/a	n/a	i	t	n/a	n/a	lip	n/a	n/a
886.721	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	control_lip	88	no
886.771	0	stimulus	n/a	n/a	e	p	n/a	n/a	control_lip	n/a	n/a
890.6905	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	lip	89	no
890.7405	0	stimulus	n/a	n/a	o	b	n/a	n/a	lip	n/a	n/a
894.706	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	lip	90	no
894.756	0	stimulus	n/a	n/a	t	e	n/a	n/a	lip	n/a	n/a
898.724	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	lip	91	no
898.774	0	stimulus	n/a	n/a	u	d	n/a	n/a	lip	n/a	n/a
906.688	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	lip	92	no
906.738	0	stimulus	n/a	n/a	e	p	n/a	n/a	lip	n/a	n/a
910.704	0	TMS	bilabial	stop	n/a	n/a	bilabial	110	lip	93	no
910.754	0	stimulus	n/a	n/a	p	a	n/a	n/a	lip	n/a	n/a
914.7025	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	control_lip	94	no
