onset	duration	trial_type	category	manner	phoneme1	phoneme2	place	tms_intensity	tms_target	trial	voicing
846.137	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	tongue	1	no
846.187	0	stimulus	n/a	n/a	u	d	n/a	n/a	tongue	n/a	n/a
850.1165	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	tongue	2	no
850.1665	0	stimulus	n/a	n/a	a	d	n/a	n/a	tongue	n/a	n/a
854.1295	0	TMS	bilabial	stop	n/a	n/a	bilabial	110	tongue	3	no
854.1795	0	stimulus	n/a	n/a	p	u	n/a	n/a	tongue	n/a	n/a
858.1205	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	control_tongue	4	no
858.1705	0	stimulus	n/a	n/a	i	t	n/a	n/a	control_tongue	n/a	n/a
862.1215	0	TMS	bilabial	stop	n/a	n/a	bilabial	110	tongue	5	yes
862.1715	0	stimulus	n/a	n/a	b	o	n/a	n/a	tongue	n/a	n/a
866.1175	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	tongue	6	no
866.1675	0	stimulus	n/a	n/a	i	d	n/a	n/a	tongue	n/a	n/a
870.1305	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	tongue	7	no
870.1805	0	stimulus	n/a	n/a	e	b	n/a	n/a	tongue	n/a	n/a
874.1265	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	tongue	8	no
874.1765	0	stimulus	n/a	n/a	a	d	n/a	n/a	tongue	n/a	n/a
878.123	0	TMS	bilabial	stop	n/a	n/a	bilabial	110	tongue	9	no
878.173	0	stimulus	n/a	n/a	p	a	n/a	n/a	tongue	n/a	n/a
882.0955	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	control_tongue	10	no
882.1455	0	stimulus	n/a	n/a	e	t	n/a	n/a	control_tongue	n/a	n/a
886.115	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	tongue	11	yes
886.165	0	stimulus	n/a	n/a	d	a	n/a	n/a	tongue	n/a	n/a
890.128	0	TMS	bilabial	stop	n/a	n/a	bilabial	110	tongue	12	yes
890.178	0	stimulus	n/a	n/a	b	i	n/a	n/a	tongue	n/a	n/a
894.124	0	TMS	bilabial	stop	n/a	n/a	bilabial	110	tongue	13	yes
894.174	0	stimulus	n/a	n/a	b	e	n/a	n/a	tongue	n/a	n/a
898.12	0	TMS	bilabial	stop	n/a	n/a	bilabial	110	control_tongue	14	no
898.17	0	stimulus	n/a	n/a	p	u	n/a	n/a	control_tongue	n/a	n/a
902.1165	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	tongue	15	no
902.1665	0	stimulus	n/a	n/a	u	t	n/a	n/a	tongue	n/a	n/a
906.129	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	tongue	16	yes
906.179	0	stimulus	n/a	n/a	d	i	n/a	n/a	tongue	n/a	n/a
910.124	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	control_tongue	17	no
910.174	0	stimulus	n/a	n/a	u	t	n/a	n/a	control_tongue	n/a	n/a
914.125	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	control_tongue	18	no
914.175	0	stimulus	n/a	n/a	e	b	n/a	n/a	control_tongue	n/a	n/a
918.117	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	control_tongue	19	yes
918.167	0	stimulus	n/a	n/a	d	o	n/a	n/a	control_tongue	n/a	n/a
922.13	0	TMS	bilabial	stop	n/a	n/a	bilabial	110	tongue	20	no
922.18	0	stimulus	n/a	n/a	p	u	n/a	n/a	tongue	n/a	n/a
926.116	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	control_tongue	21	no
926.166	0	stimulus	n/a	n/a	i	d	n/a	n/a	control_tongue	n/a	n/a
930.122	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	tongue	22	no
930.172	0	stimulus	n/a	n/a	t	e	n/a	n/a	tongue	n/a	n/a
934.1185	0	TMS	bilabial	stop	n/a	n/a	bilabial	110	tongue	23	yes
934.1685	0	stimulus	n/a	n/a	b	a	n/a	n/a	tongue	n/a	n/a
938.121	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	control_tongue	24	no
