onset	duration	trial_type	category	manner	phoneme1	phoneme2	place	tms_intensity	tms_target	trial	voicing
417.0765	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	tongue	1	no
417.1265	0	stimulus	n/a	n/a	u	d	n/a	n/a	tongue	n/a	n/a
421.056	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	tongue	2	no
421.106	0	stimulus	n/a	n/a	a	d	n/a	n/a	tongue	n/a	n/a
425.0515	0	TMS	bilabial	stop	n/a	n/a	bilabial	110	tongue	3	no
425.1015	0	stimulus	n/a	n/a	p	u	n/a	n/a	tongue	n/a	n/a
429.052	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	control_tongue	4	no
429.102	0	stimulus	n/a	n/a	i	t	n/a	n/a	control_tongue	n/a	n/a
433.061	0	TMS	bilabial	stop	n/a	n/a	bilabial	110	tongue	5	yes
433.111	0	stimulus	n/a	n/a	b	o	n/a	n/a	tongue	n/a	n/a
437.0735	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	tongue	6	no
437.1235	0	stimulus	n/a	n/a	i	d	n/a	n/a	tongue	n/a	n/a
441.053	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	tongue	7	no
441.103	0	stimulus	n/a	n/a	e	b	n/a	n/a	tongue	n/a	n/a
445.0825	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	tongue	8	no
445.1325	0	stimulus	n/a	n/a	a	d	n/a	n/a	tongue	n/a	n/a
449.794	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	control_tongue	9	no
449.844	0	stimulus	n/a	n/a	e	t	n/a	n/a	control_tongue	n/a	n/a
457.071	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	tongue	10	yes
457.121	0	stimulus	n/a	n/a	d	a	n/a	n/a	tongue	n/a	n/a
461.0835	0	TMS	bilabial	stop	n/a	n/a	bilabial	110	tongue	11	yes
461.1335	0	stimulus	n/a	n/a	b	i	n/a	n/a	tongue	n/a	n/a
465.063	0	TMS	bilabial	stop	n/a	n/a	bilabial	110	tongue	12	yes
465.113	0	stimulus	n/a	n/a	b	e	n/a	n/a	tongue	n/a	n/a
469.061	0	TMS	bilabial	stop	n/a	n/a	bilabial	110	control_tongue	13	no
469.111	0	stimulus	n/a	n/a	p	u	n/a	n/a	control_tongue	n/a	n/a
473.073	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	tongue	14	no
473.123	0	stimulus	n/a	n/a	u	t	n/a	n/a	tongue	n/a	n/a
497.0725	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	control_tongue	15	no
